Date (StatewiseTestingDetails.csv),State (StatewiseTestingDetails.csv),Negative,Positive,Total Samples
17-04-2020,Andaman and Nicobar Islands,1210,12,1403
24-04-2020,Andaman and Nicobar Islands,,27,2679
27-04-2020,Andaman and Nicobar Islands,,33,2848
01-05-2020,Andaman and Nicobar Islands,,33,3754
16-05-2020,Andaman and Nicobar Islands,,33,6677
19-05-2020,Andaman and Nicobar Islands,,33,6965
20-05-2020,Andaman and Nicobar Islands,,33,7082
21-05-2020,Andaman and Nicobar Islands,,33,7167
22-05-2020,Andaman and Nicobar Islands,,33,7263
23-05-2020,Andaman and Nicobar Islands,,33,7327
24-05-2020,Andaman and Nicobar Islands,,33,7327
25-05-2020,Andaman and Nicobar Islands,,33,7363
26-05-2020,Andaman and Nicobar Islands,,33,7448
27-05-2020,Andaman and Nicobar Islands,,33,7499
28-05-2020,Andaman and Nicobar Islands,,33,7519
29-05-2020,Andaman and Nicobar Islands,,33,7567
30-05-2020,Andaman and Nicobar Islands,,33,7567
31-05-2020,Andaman and Nicobar Islands,,33,7706
01-06-2020,Andaman and Nicobar Islands,,33,7805
02-06-2020,Andaman and Nicobar Islands,,33,8086
03-06-2020,Andaman and Nicobar Islands,,33,8295
04-06-2020,Andaman and Nicobar Islands,,33,8413
05-06-2020,Andaman and Nicobar Islands,,33,8694
06-06-2020,Andaman and Nicobar Islands,,33,9037
07-06-2020,Andaman and Nicobar Islands,,33,9242
08-06-2020,Andaman and Nicobar Islands,,33,9341
09-06-2020,Andaman and Nicobar Islands,,33,9859
10-06-2020,Andaman and Nicobar Islands,,35,10010
11-06-2020,Andaman and Nicobar Islands,,38,10226
12-06-2020,Andaman and Nicobar Islands,,38,10697
13-06-2020,Andaman and Nicobar Islands,,38,10955
14-06-2020,Andaman and Nicobar Islands,,38,11356
15-06-2020,Andaman and Nicobar Islands,,41,11518
16-06-2020,Andaman and Nicobar Islands,,44,11809
17-06-2020,Andaman and Nicobar Islands,,44,12239
18-06-2020,Andaman and Nicobar Islands,,45,12622
19-06-2020,Andaman and Nicobar Islands,,47,12930
20-06-2020,Andaman and Nicobar Islands,,47,13320
21-06-2020,Andaman and Nicobar Islands,,48,13434
22-06-2020,Andaman and Nicobar Islands,,48,13511
23-06-2020,Andaman and Nicobar Islands,,50,13723
24-06-2020,Andaman and Nicobar Islands,,56,13994
25-06-2020,Andaman and Nicobar Islands,,59,14277
26-06-2020,Andaman and Nicobar Islands,,72,14583
27-06-2020,Andaman and Nicobar Islands,,73,14851
28-06-2020,Andaman and Nicobar Islands,,83,15094
29-06-2020,Andaman and Nicobar Islands,,90,15410
30-06-2020,Andaman and Nicobar Islands,,97,15709
01-07-2020,Andaman and Nicobar Islands,,100,15982
02-07-2020,Andaman and Nicobar Islands,,109,16278
03-07-2020,Andaman and Nicobar Islands,,116,16626
04-07-2020,Andaman and Nicobar Islands,,119,16832
05-07-2020,Andaman and Nicobar Islands,,125,16909
06-07-2020,Andaman and Nicobar Islands,,141,17095
07-07-2020,Andaman and Nicobar Islands,,147,17381
08-07-2020,Andaman and Nicobar Islands,,149,17643
09-07-2020,Andaman and Nicobar Islands,,151,17852
10-07-2020,Andaman and Nicobar Islands,,156,18046
11-07-2020,Andaman and Nicobar Islands,,163,18315
12-07-2020,Andaman and Nicobar Islands,,163,18447
13-07-2020,Andaman and Nicobar Islands,,166,18609
14-07-2020,Andaman and Nicobar Islands,,171,18884
15-07-2020,Andaman and Nicobar Islands,,176,19061
16-07-2020,Andaman and Nicobar Islands,,180,19227
17-07-2020,Andaman and Nicobar Islands,,194,19421
18-07-2020,Andaman and Nicobar Islands,,198,19671
19-07-2020,Andaman and Nicobar Islands,,203,19904
20-07-2020,Andaman and Nicobar Islands,,207,20301
21-07-2020,Andaman and Nicobar Islands,,212,20642
22-07-2020,Andaman and Nicobar Islands,,221,21043
23-07-2020,Andaman and Nicobar Islands,,240,21310
24-07-2020,Andaman and Nicobar Islands,,259,21743
25-07-2020,Andaman and Nicobar Islands,,290,21965
26-07-2020,Andaman and Nicobar Islands,,324,22049
27-07-2020,Andaman and Nicobar Islands,,338,22548
28-07-2020,Andaman and Nicobar Islands,,363,22925
29-07-2020,Andaman and Nicobar Islands,,428,23217
30-07-2020,Andaman and Nicobar Islands,,471,23615
31-07-2020,Andaman and Nicobar Islands,,548,24038
01-08-2020,Andaman and Nicobar Islands,,636,24308
02-08-2020,Andaman and Nicobar Islands,,734,24580
03-08-2020,Andaman and Nicobar Islands,,830,25034
04-08-2020,Andaman and Nicobar Islands,,928,25492
05-08-2020,Andaman and Nicobar Islands,,1027,25826
06-08-2020,Andaman and Nicobar Islands,,1123,26516
07-08-2020,Andaman and Nicobar Islands,,1222,26915
08-08-2020,Andaman and Nicobar Islands,,1351,27073
09-08-2020,Andaman and Nicobar Islands,,1490,27103
10-08-2020,Andaman and Nicobar Islands,,1625,27346
11-08-2020,Andaman and Nicobar Islands,,1764,27455
12-08-2020,Andaman and Nicobar Islands,,1900,27744
13-08-2020,Andaman and Nicobar Islands,,2037,27973
14-08-2020,Andaman and Nicobar Islands,,2186,28129
15-08-2020,Andaman and Nicobar Islands,,2306,28209
16-08-2020,Andaman and Nicobar Islands,,2399,28229
17-08-2020,Andaman and Nicobar Islands,,2445,28672
18-08-2020,Andaman and Nicobar Islands,,2529,28937
19-08-2020,Andaman and Nicobar Islands,,2604,29303
20-08-2020,Andaman and Nicobar Islands,,2680,29487
21-08-2020,Andaman and Nicobar Islands,,2747,29573
22-08-2020,Andaman and Nicobar Islands,,2808,29888
23-08-2020,Andaman and Nicobar Islands,,2860,30278
24-08-2020,Andaman and Nicobar Islands,,2904,30513
25-08-2020,Andaman and Nicobar Islands,,2945,31082
26-08-2020,Andaman and Nicobar Islands,,2985,31646
27-08-2020,Andaman and Nicobar Islands,,3018,31830
28-08-2020,Andaman and Nicobar Islands,,3050,32100
29-08-2020,Andaman and Nicobar Islands,,3081,32407
30-08-2020,Andaman and Nicobar Islands,,3104,32674
31-08-2020,Andaman and Nicobar Islands,,3132,33485
01-09-2020,Andaman and Nicobar Islands,,3160,35104
02-09-2020,Andaman and Nicobar Islands,,,36136
03-09-2020,Andaman and Nicobar Islands,,3223,37075
04-09-2020,Andaman and Nicobar Islands,,3257,37825
05-09-2020,Andaman and Nicobar Islands,,3292,38574
06-09-2020,Andaman and Nicobar Islands,,3332,39205
07-09-2020,Andaman and Nicobar Islands,,3359,39995
08-09-2020,Andaman and Nicobar Islands,,3392,41039
09-09-2020,Andaman and Nicobar Islands,,3426,41776
10-09-2020,Andaman and Nicobar Islands,,3465,42792
11-09-2020,Andaman and Nicobar Islands,,3494,43680
12-09-2020,Andaman and Nicobar Islands,,3521,44570
13-09-2020,Andaman and Nicobar Islands,,3546,45279
14-09-2020,Andaman and Nicobar Islands,,3557,45987
15-09-2020,Andaman and Nicobar Islands,,3574,46823
16-09-2020,Andaman and Nicobar Islands,,3593,47794
17-09-2020,Andaman and Nicobar Islands,,3604,48861
18-09-2020,Andaman and Nicobar Islands,,3631,50035
19-09-2020,Andaman and Nicobar Islands,,3644,50681
20-09-2020,Andaman and Nicobar Islands,,3651,51262
21-09-2020,Andaman and Nicobar Islands,,3673,52220
22-09-2020,Andaman and Nicobar Islands,,3691,52845
23-09-2020,Andaman and Nicobar Islands,,3712,53591
24-09-2020,Andaman and Nicobar Islands,,3744,52992
25-09-2020,Andaman and Nicobar Islands,,3759,55169
26-09-2020,Andaman and Nicobar Islands,,3774,56059
27-09-2020,Andaman and Nicobar Islands,,3794,56661
28-09-2020,Andaman and Nicobar Islands,,3803,57343
29-09-2020,Andaman and Nicobar Islands,,3821,58135
30-09-2020,Andaman and Nicobar Islands,,3835,58763
01-10-2020,Andaman and Nicobar Islands,,3848,59676
02-10-2020,Andaman and Nicobar Islands,,3858,60437
03-10-2020,Andaman and Nicobar Islands,,3868,61231
04-10-2020,Andaman and Nicobar Islands,,3884,62103
05-10-2020,Andaman and Nicobar Islands,,3899,63009
06-10-2020,Andaman and Nicobar Islands,,3912,63790
07-10-2020,Andaman and Nicobar Islands,,3935,65111
08-10-2020,Andaman and Nicobar Islands,,3952,66244
09-10-2020,Andaman and Nicobar Islands,,3976,67332
10-10-2020,Andaman and Nicobar Islands,,3992,68464
11-10-2020,Andaman and Nicobar Islands,,4005,69146
12-10-2020,Andaman and Nicobar Islands,,4023,69932
13-10-2020,Andaman and Nicobar Islands,,4036,70780
14-10-2020,Andaman and Nicobar Islands,,4046,71624
15-10-2020,Andaman and Nicobar Islands,,4062,72525
16-10-2020,Andaman and Nicobar Islands,,4072,73363
17-10-2020,Andaman and Nicobar Islands,,4083,74277
18-10-2020,Andaman and Nicobar Islands,,4108,75030
19-10-2020,Andaman and Nicobar Islands,,4126,75977
20-10-2020,Andaman and Nicobar Islands,,4141,77200
21-10-2020,Andaman and Nicobar Islands,,4168,78303
22-10-2020,Andaman and Nicobar Islands,,4184,79301
23-10-2020,Andaman and Nicobar Islands,,4207,80768
24-10-2020,Andaman and Nicobar Islands,,4225,81880
25-10-2020,Andaman and Nicobar Islands,,4245,82626
26-10-2020,Andaman and Nicobar Islands,,4253,83115
27-10-2020,Andaman and Nicobar Islands,,4274,84308
28-10-2020,Andaman and Nicobar Islands,,4289,85378
29-10-2020,Andaman and Nicobar Islands,,4305,86715
30-10-2020,Andaman and Nicobar Islands,,4317,87789
31-10-2020,Andaman and Nicobar Islands,,4332,88453
01-11-2020,Andaman and Nicobar Islands,,4340,89559
02-11-2020,Andaman and Nicobar Islands,,4352,90901
03-11-2020,Andaman and Nicobar Islands,,4372,92249
04-11-2020,Andaman and Nicobar Islands,,4389,93406
05-11-2020,Andaman and Nicobar Islands,,4403,94639
06-11-2020,Andaman and Nicobar Islands,,4420,96214
07-11-2020,Andaman and Nicobar Islands,,4441,97603
08-11-2020,Andaman and Nicobar Islands,,4450,98812
09-11-2020,Andaman and Nicobar Islands,,4463,100025
10-11-2020,Andaman and Nicobar Islands,,4477,101226
11-11-2020,Andaman and Nicobar Islands,,4494,102433
12-11-2020,Andaman and Nicobar Islands,,4507,103599
13-11-2020,Andaman and Nicobar Islands,,4518,104785
14-11-2020,Andaman and Nicobar Islands,,4527,105699
15-11-2020,Andaman and Nicobar Islands,,4536,106734
16-11-2020,Andaman and Nicobar Islands,,4557,108080
17-11-2020,Andaman and Nicobar Islands,,4574,109646
18-11-2020,Andaman and Nicobar Islands,,4593,111166
19-11-2020,Andaman and Nicobar Islands,,4604,112792
20-11-2020,Andaman and Nicobar Islands,,4617,114392
21-11-2020,Andaman and Nicobar Islands,,4631,115968
22-11-2020,Andaman and Nicobar Islands,,4641,117093
23-11-2020,Andaman and Nicobar Islands,,4656,118654
24-11-2020,Andaman and Nicobar Islands,,4667,120324
25-11-2020,Andaman and Nicobar Islands,,4677,121931
26-11-2020,Andaman and Nicobar Islands,,4682,123165
27-11-2020,Andaman and Nicobar Islands,,4689,124832
28-11-2020,Andaman and Nicobar Islands,,4698,126331
29-11-2020,Andaman and Nicobar Islands,,4704,127912
30-11-2020,Andaman and Nicobar Islands,,4710,129389
01-12-2020,Andaman and Nicobar Islands,,4718,131080
02-12-2020,Andaman and Nicobar Islands,,4723,132784
03-12-2020,Andaman and Nicobar Islands,,4729,134355
04-12-2020,Andaman and Nicobar Islands,,4742,135952
05-12-2020,Andaman and Nicobar Islands,,4747,137648
06-12-2020,Andaman and Nicobar Islands,,4758,139326
07-12-2020,Andaman and Nicobar Islands,,4773,140961
08-12-2020,Andaman and Nicobar Islands,,4778,142667
09-12-2020,Andaman and Nicobar Islands,,4783,144401
10-12-2020,Andaman and Nicobar Islands,,4791,146143
11-12-2020,Andaman and Nicobar Islands,,4798,147806
12-12-2020,Andaman and Nicobar Islands,,4805,149926
13-12-2020,Andaman and Nicobar Islands,,4818,152004
14-12-2020,Andaman and Nicobar Islands,,4834,153685
15-12-2020,Andaman and Nicobar Islands,,4842,155454
16-12-2020,Andaman and Nicobar Islands,,4850,157242
17-12-2020,Andaman and Nicobar Islands,,4860,159027
18-12-2020,Andaman and Nicobar Islands,,4869,160856
19-12-2020,Andaman and Nicobar Islands,,4875,162821
20-12-2020,Andaman and Nicobar Islands,,4881,165024
21-12-2020,Andaman and Nicobar Islands,,4888,166845
22-12-2020,Andaman and Nicobar Islands,,4893,168769
23-12-2020,Andaman and Nicobar Islands,,4896,170666
24-12-2020,Andaman and Nicobar Islands,,4901,172756
25-12-2020,Andaman and Nicobar Islands,,4912,174482
26-12-2020,Andaman and Nicobar Islands,,4912,175578
27-12-2020,Andaman and Nicobar Islands,,4924,176898
28-12-2020,Andaman and Nicobar Islands,,4929,177926
29-12-2020,Andaman and Nicobar Islands,,4936,179444
30-12-2020,Andaman and Nicobar Islands,,4941,180626
31-12-2020,Andaman and Nicobar Islands,,4945,181640
01-01-2021,Andaman and Nicobar Islands,,4946,182631
02-01-2021,Andaman and Nicobar Islands,,4947,183725
03-01-2021,Andaman and Nicobar Islands,,4948,184955
04-01-2021,Andaman and Nicobar Islands,,4948,186140
05-01-2021,Andaman and Nicobar Islands,,4949,187115
06-01-2021,Andaman and Nicobar Islands,,4949,188351
07-01-2021,Andaman and Nicobar Islands,,4958,190031
08-01-2021,Andaman and Nicobar Islands,,4959,191206
09-01-2021,Andaman and Nicobar Islands,,4959,192560
10-01-2021,Andaman and Nicobar Islands,,4960,193719
11-01-2021,Andaman and Nicobar Islands,,4963,195351
12-01-2021,Andaman and Nicobar Islands,,4966,196859
13-01-2021,Andaman and Nicobar Islands,,4969,198478
14-01-2021,Andaman and Nicobar Islands,,4976,199805
15-01-2021,Andaman and Nicobar Islands,,4979,200953
16-01-2021,Andaman and Nicobar Islands,,4982,202521
17-01-2021,Andaman and Nicobar Islands,,4983,203741
18-01-2021,Andaman and Nicobar Islands,,4988,205411
19-01-2021,Andaman and Nicobar Islands,,4989,206732
20-01-2021,Andaman and Nicobar Islands,,4991,208179
21-01-2021,Andaman and Nicobar Islands,,4991,209437
22-01-2021,Andaman and Nicobar Islands,,4992,210762
23-01-2021,Andaman and Nicobar Islands,,4993,212393
24-01-2021,Andaman and Nicobar Islands,,4993,213467
25-01-2021,Andaman and Nicobar Islands,,4994,214915
26-01-2021,Andaman and Nicobar Islands,,4994,215858
27-01-2021,Andaman and Nicobar Islands,,4994,217007
28-01-2021,Andaman and Nicobar Islands,,4994,218629
29-01-2021,Andaman and Nicobar Islands,,4994,220484
30-01-2021,Andaman and Nicobar Islands,,4994,221876
31-01-2021,Andaman and Nicobar Islands,,4994,223137
01-02-2021,Andaman and Nicobar Islands,,4994,224852
02-02-2021,Andaman and Nicobar Islands,,4994,226584
03-02-2021,Andaman and Nicobar Islands,,4994,228290
04-02-2021,Andaman and Nicobar Islands,,4994,230133
05-02-2021,Andaman and Nicobar Islands,,4997,231633
06-02-2021,Andaman and Nicobar Islands,,5000,233597
07-02-2021,Andaman and Nicobar Islands,,5001,235072
08-02-2021,Andaman and Nicobar Islands,,5005,236643
09-02-2021,Andaman and Nicobar Islands,,5007,238339
10-02-2021,Andaman and Nicobar Islands,,5007,240362
11-02-2021,Andaman and Nicobar Islands,,5007,241833
12-02-2021,Andaman and Nicobar Islands,,5007,243631
13-02-2021,Andaman and Nicobar Islands,,5009,245745
14-02-2021,Andaman and Nicobar Islands,,5009,247289
15-02-2021,Andaman and Nicobar Islands,,5009,248562
16-02-2021,Andaman and Nicobar Islands,,5013,250037
17-02-2021,Andaman and Nicobar Islands,,5014,251774
18-02-2021,Andaman and Nicobar Islands,,5014,253718
19-02-2021,Andaman and Nicobar Islands,,5014,255675
20-02-2021,Andaman and Nicobar Islands,,5014,257213
21-02-2021,Andaman and Nicobar Islands,,5014,258773
22-02-2021,Andaman and Nicobar Islands,,5015,260324
23-02-2021,Andaman and Nicobar Islands,,5016,261719
24-02-2021,Andaman and Nicobar Islands,,5016,263090
25-02-2021,Andaman and Nicobar Islands,,5016,264369
26-02-2021,Andaman and Nicobar Islands,,5017,265852
27-02-2021,Andaman and Nicobar Islands,,5018,267209
28-02-2021,Andaman and Nicobar Islands,,5020,268499
01-03-2021,Andaman and Nicobar Islands,,5020,269799
02-03-2021,Andaman and Nicobar Islands,,5020,271193
03-03-2021,Andaman and Nicobar Islands,,5022,273010
04-03-2021,Andaman and Nicobar Islands,,5024,274849
05-03-2021,Andaman and Nicobar Islands,,5024,276471
06-03-2021,Andaman and Nicobar Islands,,5024,278437
07-03-2021,Andaman and Nicobar Islands,,,280041
08-03-2021,Andaman and Nicobar Islands,,5026,281955
09-03-2021,Andaman and Nicobar Islands,,5028,283492
10-03-2021,Andaman and Nicobar Islands,,5028,285087
11-03-2021,Andaman and Nicobar Islands,,5028,286505
12-03-2021,Andaman and Nicobar Islands,,5029,288197
13-03-2021,Andaman and Nicobar Islands,,5030,290341
14-03-2021,Andaman and Nicobar Islands,,5031,291842
15-03-2021,Andaman and Nicobar Islands,,5031,294094
16-03-2021,Andaman and Nicobar Islands,,5032,295827
17-03-2021,Andaman and Nicobar Islands,,5035,297433
18-03-2021,Andaman and Nicobar Islands,,5036,299048
19-03-2021,Andaman and Nicobar Islands,,5038,300892
20-03-2021,Andaman and Nicobar Islands,,5038,302566
21-03-2021,Andaman and Nicobar Islands,,5039,304391
22-03-2021,Andaman and Nicobar Islands,,5039,305778
23-03-2021,Andaman and Nicobar Islands,,5039,307255
24-03-2021,Andaman and Nicobar Islands,,5041,308812
25-03-2021,Andaman and Nicobar Islands,,5042,310615
26-03-2021,Andaman and Nicobar Islands,,5043,312378
27-03-2021,Andaman and Nicobar Islands,,5044,314309
28-03-2021,Andaman and Nicobar Islands,,5046,315818
29-03-2021,Andaman and Nicobar Islands,,5052,317137
30-03-2021,Andaman and Nicobar Islands,,5081,318382
31-03-2021,Andaman and Nicobar Islands,,5083,319864
01-04-2021,Andaman and Nicobar Islands,,5084,321456
02-04-2021,Andaman and Nicobar Islands,,5084,323001
03-04-2021,Andaman and Nicobar Islands,,5098,324207
04-04-2021,Andaman and Nicobar Islands,,5109,325826
05-04-2021,Andaman and Nicobar Islands,,5116,327270
06-04-2021,Andaman and Nicobar Islands,,5123,328737
07-04-2021,Andaman and Nicobar Islands,,5131,330481
08-04-2021,Andaman and Nicobar Islands,,5149,332119
09-04-2021,Andaman and Nicobar Islands,,5161,333671
10-04-2021,Andaman and Nicobar Islands,,5175,335784
11-04-2021,Andaman and Nicobar Islands,,5190,337833
12-04-2021,Andaman and Nicobar Islands,,5201,339482
13-04-2021,Andaman and Nicobar Islands,,5209,341557
14-04-2021,Andaman and Nicobar Islands,,5247,343431
15-04-2021,Andaman and Nicobar Islands,,5262,345485
16-04-2021,Andaman and Nicobar Islands,,5289,347489
17-04-2021,Andaman and Nicobar Islands,,5331,349739
18-04-2021,Andaman and Nicobar Islands,,5390,352086
19-04-2021,Andaman and Nicobar Islands,,5421,353754
20-04-2021,Andaman and Nicobar Islands,,5466,355507
21-04-2021,Andaman and Nicobar Islands,,5490,357442
22-04-2021,Andaman and Nicobar Islands,,5527,358903
23-04-2021,Andaman and Nicobar Islands,,5569,360595
24-04-2021,Andaman and Nicobar Islands,,5614,361594
25-04-2021,Andaman and Nicobar Islands,,5665,363056
26-04-2021,Andaman and Nicobar Islands,,5716,364735
27-04-2021,Andaman and Nicobar Islands,,5764,366683
28-04-2021,Andaman and Nicobar Islands,,5816,367689
29-04-2021,Andaman and Nicobar Islands,,5875,368945
30-04-2021,Andaman and Nicobar Islands,,5949,370896
01-05-2021,Andaman and Nicobar Islands,,6046,372214
02-05-2021,Andaman and Nicobar Islands,,6084,373007
03-05-2021,Andaman and Nicobar Islands,,6150,373785
04-05-2021,Andaman and Nicobar Islands,,6181,374428
05-05-2021,Andaman and Nicobar Islands,,6223,375095
06-05-2021,Andaman and Nicobar Islands,,6255,375477
07-05-2021,Andaman and Nicobar Islands,,6311,375967
08-05-2021,Andaman and Nicobar Islands,,6341,376536
09-05-2021,Andaman and Nicobar Islands,,6367,376933
10-05-2021,Andaman and Nicobar Islands,,6398,377293
11-05-2021,Andaman and Nicobar Islands,,6426,377516
12-05-2021,Andaman and Nicobar Islands,,6470,378060
13-05-2021,Andaman and Nicobar Islands,,6510,378462
14-05-2021,Andaman and Nicobar Islands,,6542,378887
15-05-2021,Andaman and Nicobar Islands,,6568,379096
16-05-2021,Andaman and Nicobar Islands,,6603,379674
17-05-2021,Andaman and Nicobar Islands,,6638,380102
18-05-2021,Andaman and Nicobar Islands,,6674,380395
19-05-2021,Andaman and Nicobar Islands,,6709,380853
20-05-2021,Andaman and Nicobar Islands,,6758,381349
21-05-2021,Andaman and Nicobar Islands,,6789,382015
22-05-2021,Andaman and Nicobar Islands,,6820,382640
23-05-2021,Andaman and Nicobar Islands,,6844,383265
24-05-2021,Andaman and Nicobar Islands,,6853,383396
25-05-2021,Andaman and Nicobar Islands,,6878,383727
26-05-2021,Andaman and Nicobar Islands,,6901,384188
27-05-2021,Andaman and Nicobar Islands,,6917,384528
28-05-2021,Andaman and Nicobar Islands,,6936,385020
29-05-2021,Andaman and Nicobar Islands,,6964,385564
30-05-2021,Andaman and Nicobar Islands,,6984,385988
31-05-2021,Andaman and Nicobar Islands,,7005,386613
01-06-2021,Andaman and Nicobar Islands,,7018,387348
02-06-2021,Andaman and Nicobar Islands,,7043,387871
03-06-2021,Andaman and Nicobar Islands,,7070,388486
04-06-2021,Andaman and Nicobar Islands,,7088,389152
05-06-2021,Andaman and Nicobar Islands,,7105,389785
06-06-2021,Andaman and Nicobar Islands,,7119,390574
07-06-2021,Andaman and Nicobar Islands,,7131,391273
08-06-2021,Andaman and Nicobar Islands,,7154,392095
09-06-2021,Andaman and Nicobar Islands,,7168,392974
10-06-2021,Andaman and Nicobar Islands,,7197,393692
11-06-2021,Andaman and Nicobar Islands,,7233,394822
12-06-2021,Andaman and Nicobar Islands,,7243,395624
13-06-2021,Andaman and Nicobar Islands,,7261,396534
14-06-2021,Andaman and Nicobar Islands,,7269,397190
15-06-2021,Andaman and Nicobar Islands,,7280,397953
16-06-2021,Andaman and Nicobar Islands,,7306,398852
17-06-2021,Andaman and Nicobar Islands,,7335,399580
18-06-2021,Andaman and Nicobar Islands,,7363,400211
19-06-2021,Andaman and Nicobar Islands,,7394,400997
20-06-2021,Andaman and Nicobar Islands,,7406,401769
21-06-2021,Andaman and Nicobar Islands,,7415,402629
22-06-2021,Andaman and Nicobar Islands,,7425,403616
23-06-2021,Andaman and Nicobar Islands,,7438,404494
24-06-2021,Andaman and Nicobar Islands,,7440,405197
25-06-2021,Andaman and Nicobar Islands,,7441,405887
26-06-2021,Andaman and Nicobar Islands,,7446,406529
27-06-2021,Andaman and Nicobar Islands,,7455,407488
28-06-2021,Andaman and Nicobar Islands,,7462,408220
29-06-2021,Andaman and Nicobar Islands,,7466,409212
30-06-2021,Andaman and Nicobar Islands,,7467,409890
01-07-2021,Andaman and Nicobar Islands,,7469,410741
02-07-2021,Andaman and Nicobar Islands,,7475,411442
03-07-2021,Andaman and Nicobar Islands,,7478,412361
04-07-2021,Andaman and Nicobar Islands,,7482,413316
05-07-2021,Andaman and Nicobar Islands,,7482,414166
06-07-2021,Andaman and Nicobar Islands,,7487,415066
07-07-2021,Andaman and Nicobar Islands,,7491,416065
08-07-2021,Andaman and Nicobar Islands,,7492,416815
09-07-2021,Andaman and Nicobar Islands,,7492,417598
10-07-2021,Andaman and Nicobar Islands,,7492,418550
11-07-2021,Andaman and Nicobar Islands,,7492,419287
12-07-2021,Andaman and Nicobar Islands,,7493,420157
13-07-2021,Andaman and Nicobar Islands,,7496,421108
14-07-2021,Andaman and Nicobar Islands,,7499,421940
15-07-2021,Andaman and Nicobar Islands,,7501,422876
16-07-2021,Andaman and Nicobar Islands,,7505,423910
17-07-2021,Andaman and Nicobar Islands,,7506,425268
18-07-2021,Andaman and Nicobar Islands,,7510,426511
19-07-2021,Andaman and Nicobar Islands,,7516,427711
20-07-2021,Andaman and Nicobar Islands,,,428751
21-07-2021,Andaman and Nicobar Islands,,,429739
22-07-2021,Andaman and Nicobar Islands,,,430415
23-07-2021,Andaman and Nicobar Islands,,,431486
24-07-2021,Andaman and Nicobar Islands,,,432627
25-07-2021,Andaman and Nicobar Islands,,,433596
26-07-2021,Andaman and Nicobar Islands,,,434929
27-07-2021,Andaman and Nicobar Islands,,,436240
28-07-2021,Andaman and Nicobar Islands,,,437301
29-07-2021,Andaman and Nicobar Islands,,,438456
30-07-2021,Andaman and Nicobar Islands,,,439639
31-07-2021,Andaman and Nicobar Islands,,,440870
01-08-2021,Andaman and Nicobar Islands,,,442063
02-08-2021,Andaman and Nicobar Islands,,,443192
03-08-2021,Andaman and Nicobar Islands,,,444838
04-08-2021,Andaman and Nicobar Islands,,,445987
05-08-2021,Andaman and Nicobar Islands,,,447339
06-08-2021,Andaman and Nicobar Islands,,,448882
07-08-2021,Andaman and Nicobar Islands,,,450208
08-08-2021,Andaman and Nicobar Islands,,,451415
09-08-2021,Andaman and Nicobar Islands,,,452587
02-04-2020,Andhra Pradesh,1175,132,1800
10-04-2020,Andhra Pradesh,6009,365,6374
11-04-2020,Andhra Pradesh,6577,381,6958
12-04-2020,Andhra Pradesh,6553,405,6958
13-04-2020,Andhra Pradesh,8323,432,8755
14-04-2020,Andhra Pradesh,10032,473,10505
15-04-2020,Andhra Pradesh,11088,525,11613
16-04-2020,Andhra Pradesh,19701,534,20235
17-04-2020,Andhra Pradesh,,572,20235
18-04-2020,Andhra Pradesh,20487,603,21450
19-04-2020,Andhra Pradesh,26311,647,26958
20-04-2020,Andhra Pradesh,30011,722,30733
21-04-2020,Andhra Pradesh,34998,757,35755
22-04-2020,Andhra Pradesh,40699,813,41512
23-04-2020,Andhra Pradesh,47139,893,48032
24-04-2020,Andhra Pradesh,53383,955,54338
25-04-2020,Andhra Pradesh,60250,1016,61266
26-04-2020,Andhra Pradesh,66937,1097,68034
27-04-2020,Andhra Pradesh,73374,1177,74551
28-04-2020,Andhra Pradesh,79075,1259,80334
29-04-2020,Andhra Pradesh,86729,1332,88061
30-04-2020,Andhra Pradesh,93155,1403,94558
01-05-2020,Andhra Pradesh,100997,1463,102460
02-05-2020,Andhra Pradesh,106878,1525,108403
03-05-2020,Andhra Pradesh,113354,1583,114937
04-05-2020,Andhra Pradesh,123579,1650,125229
05-05-2020,Andhra Pradesh,131775,1717,133492
06-05-2020,Andhra Pradesh,139497,1777,141274
07-05-2020,Andhra Pradesh,147528,1833,149361
08-05-2020,Andhra Pradesh,154794,1887,156681
09-05-2020,Andhra Pradesh,163139,1930,165069
10-05-2020,Andhra Pradesh,171755,1980,173735
11-05-2020,Andhra Pradesh,179126,2018,181144
12-05-2020,Andhra Pradesh,189823,2051,191874
13-05-2020,Andhra Pradesh,199059,2137,201196
14-05-2020,Andhra Pradesh,208247,2100,210452
15-05-2020,Andhra Pradesh,217183,2157,219490
17-05-2020,Andhra Pradesh,236618,2230,238998
18-05-2020,Andhra Pradesh,246279,2282,248771
19-05-2020,Andhra Pradesh,255961,2339,258450
20-05-2020,Andhra Pradesh,265052,2407,267612
21-05-2020,Andhra Pradesh,273099,2452,275704
22-05-2020,Andhra Pradesh,281452,2514,284119
23-05-2020,Andhra Pradesh,290255,2561,292969
24-05-2020,Andhra Pradesh,301529,2627,304326
25-05-2020,Andhra Pradesh,311680,2671,314566
26-05-2020,Andhra Pradesh,319731,2719,322714
27-05-2020,Andhra Pradesh,329261,2787,332378
28-05-2020,Andhra Pradesh,338991,2841,342236
29-05-2020,Andhra Pradesh,350544,2874,353874
30-05-2020,Andhra Pradesh,359917,2944,363378
31-05-2020,Andhra Pradesh,369177,3045,372748
01-06-2020,Andhra Pradesh,379639,3118,383315
02-06-2020,Andhra Pradesh,391890,3200,395681
