State,Updated On,18-44 Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years (Doses Administered),45-60 Years(Individuals Vaccinated),60+ Years (Doses Administered),60+ Years(Individuals Vaccinated),Aefi,Covaxin (Doses Administered),CoviShield (Doses Administered),Female (Doses Administered),Female(Individuals Vaccinated),First Dose Administered,Male (Doses Administered),Male(Individuals Vaccinated),Second Dose Administered,Sessions,Sites,Sputnik V (Doses Administered),Total Doses Administered,Total Individuals Vaccinated,Transgender (Doses Administered),Transgender(Individuals Vaccinated)
India,16-01-2021,,,,,,,,579,47697,,24517,48276,,23757,0,3455,2957,,48276,48276,,2
India,17-01-2021,,,,,,,,635,57969,,31252,58604,,27348,0,8532,4954,,58604,58604,,4
India,18-01-2021,,,,,,,,1299,98150,,58083,99449,,41361,0,13611,6583,,99449,99449,,5
India,19-01-2021,,,,,,,,3017,192508,,113613,195525,,81901,0,17855,7951,,195525,195525,,11
India,20-01-2021,,,,,,,,3946,247334,,153145,251280,,98111,0,25472,10504,,251280,251280,,24
India,21-01-2021,,,,,,,,5367,360598,,233143,365965,,132784,0,32226,12600,,365965,365965,,38
India,22-01-2021,,,,,,,,8128,541253,,355402,549381,,193899,0,36988,14115,,549381,549381,,80
India,23-01-2021,,,,,,,,11192,747816,,491049,759008,,267856,0,43076,15605,,759008,759008,,103
India,24-01-2021,,,,,,,,13156,821902,,538647,835058,,296283,0,49851,18111,,835058,835058,,128
India,25-01-2021,,,,,,,,18858,1258246,,832766,1277104,,444137,0,55151,19682,,1277104,1277104,,201
India,26-01-2021,,,,,,,,19604,1274180,,844448,1293784,,449119,0,60821,21467,,1293784,1293784,,217
India,27-01-2021,,,,,,,,27377,1699113,,1140137,1726490,,586081,0,69495,23737,,1726490,1726490,,272
India,28-01-2021,,,,,,,,36921,2258570,,1523939,2295491,,771229,0,78523,25610,,2295491,2295491,,323
India,29-01-2021,,,,,,,,43604,2771199,,1875368,2814803,,939069,0,83664,26219,,2814803,2814803,,366
India,30-01-2021,,,,,,,,48300,3019436,,2044950,3067736,,1022380,0,87822,26643,,3067736,3067736,,406
India,31-01-2021,,,,,,,,58890,3068217,,2065391,3127107,,1061307,0,91593,27011,,3127107,3127107,,409
India,01-02-2021,,,,,,,,69372,3280893,,2197431,3350265,,1152344,0,97432,27751,,3350265,3350265,,490
India,02-02-2021,,,,,,,,76794,3451177,,2308898,3527971,,1218507,0,106461,29522,,3527971,3527971,,566
India,03-02-2021,,,,,,,,86001,3739834,,2500887,3825835,,1324273,0,116568,31167,,3825835,3825835,,675
India,04-02-2021,,,,,,,,99015,4215289,,2809042,4314304,,1504527,0,126714,32505,,4314304,4314304,,735
India,05-02-2021,,,,,,,,133911,4632013,,3054631,4765924,,1710466,0,137110,33947,,4765924,4765924,,827
India,06-02-2021,,,,,,,,195504,4916323,,3214244,5111827,,1896705,0,145121,34814,,5111827,5111827,,878
India,07-02-2021,,,,,,,,206130,4961969,,3238273,5168099,,1928947,0,153231,35778,,5168099,5168099,,879
India,08-02-2021,,,,,,,,290785,5324714,,3403576,5615499,,2211020,0,164116,36740,,5615499,5615499,,903
India,09-02-2021,,,,,,,,363692,5638782,,3543208,6002474,,2458329,0,175556,38131,,6002474,6002474,,937
India,10-02-2021,,,,,,,,480760,5981510,,3676114,6462270,,2785194,0,187224,39339,,6462270,6462270,,962
India,11-02-2021,,,,,,,,609108,6349445,,3803908,6958553,,3153649,0,197650,40332,,6958553,6958553,,996
India,12-02-2021,,,,,,,,740517,6683300,,3918381,7423817,,3504429,0,207633,40799,,7423817,7423817,,1007
India,13-02-2021,,,,,,,,781304,6906048,,4002279,7687352,,3684053,20859,216559,41308,,7708211,7687352,,1020
India,14-02-2021,,,,,,,,786042,6924325,,4009812,7710367,,3699535,21911,223423,41606,,7732278,7710367,,1020
India,15-02-2021,,,,,,,,825093,7286069,,4184377,8111162,,3925723,142489,233527,42016,,8253651,8111162,,1062
India,16-02-2021,,,,,,,,841412,7496188,,4291548,8337600,,4044967,239626,245131,42859,,8577226,8337600,,1085
India,17-02-2021,,,,,,,,894555,7810143,,4432078,8704698,,4271486,318541,256706,43310,,9023239,8704698,,1134
India,18-02-2021,,,,,,,,962251,7900240,,4351815,8862491,,4509554,475776,268275,43734,,9338267,8862491,,1122
India,19-02-2021,,,,,,,,1003518,8520049,,4702310,9523567,,4820055,717941,279055,44167,,10241508,9523567,,1202
India,20-02-2021,,,,,,,,1033170,8701335,,4766532,9734505,,4966750,884608,288334,44791,,10619113,9734505,,1223
India,21-02-2021,,,,,,,,1037565,8719652,,4773924,9757217,,4982068,893795,299726,45120,,10651012,9757217,,1225
India,22-02-2021,,,,,,,,1085940,8983323,,4841511,10069263,,5226538,1174416,312382,45490,,11243679,10069263,,1214
India,23-02-2021,,,,,,,,1120345,9167948,,4897627,10288293,,5389434,1309475,325527,46054,,11597768,10288293,,1232
India,24-02-2021,,,,,,,,1156820,9360748,,4957351,10517568,,5558978,1525390,339617,46671,,12042958,10517568,,1239
India,25-02-2021,,,,,,,,1204424,9641768,,5045426,10846192,,5799474,1972882,352882,47068,,12819074,10846192,,1292
India,26-02-2021,,,,,,,,1244235,9897140,,5131299,11141375,,6008758,2419557,357440,47240,,13560932,11141375,,1318
India,27-02-2021,,,,,,,,1244235,9897191,,5131323,11141426,,6008785,2419557,357450,47242,,13560983,11141426,,1318
India,28-02-2021,,,,,,,,1244273,9897378,,5131373,11141651,,6008960,2419557,367595,48032,,13561208,11141651,,1318
India,01-03-2021,,,,,,,,1244273,9897378,,5131373,11141651,,6008960,2419557,401961,50243,,13561208,11141651,,1318
India,02-03-2021,,,,,,,,1277711,10608609,,5422470,11886320,,6462436,2647634,448977,51350,,14533954,11886320,,1414
India,03-03-2021,,,,,,,,1307164,11246162,,5692550,12553326,,6859318,2830557,533253,54700,,15383883,12553326,,1458
India,04-03-2021,,,,,,,,1345443,12048095,,6045211,13393538,,7346850,3142165,613748,57418,,16535703,13393538,,1477
India,05-03-2021,,,,,,,,1386898,13029014,,6490255,14415912,,7924084,3455761,714806,59064,,17871673,14415912,,1573
India,06-03-2021,,,,,,,,1434272,14004223,,6948195,15438495,,8488627,3732333,802800,60930,,19170828,15438495,,1673
India,07-03-2021,,,,,,,,1440857,14100672,,6993867,15541529,,8545982,3747137,862720,63187,,19288666,15541529,,1680
India,08-03-2021,,,,,,,,1495593,15480545,,7676312,16976138,,9298005,4062362,923939,64854,,21038500,16976138,,1821
India,09-03-2021,,,,,,,,1619279,16739804,,8313353,14003206,,10044921,4357037,3632230,22562,,18360243,18360243,,1967
India,10-03-2021,,,,,,,,1727948,17809439,,8829091,14872785,,10707385,4665762,3712590,22885,,19538547,19538547,,2069
India,11-03-2021,,,,,,,,1755220,18197567,,9013952,15204375,,10937930,4749612,2074307,13920,,19953987,19953987,,2103
India,12-03-2021,,,,,,,,1910640,19860313,,9795767,16612019,,11974143,5160140,5428928,34489,,21772159,21772159,,2247
India,13-03-2021,,,,,,,,2010101,21148292,,10409393,17698742,,12747867,5460862,4500722,27403,,23159604,23159604,,2342
India,14-03-2021,,,,,,,,2017875,21298664,,10483269,17837716,,12832126,5480034,935045,6063,,23317750,23317750,,2353
India,15-03-2021,,,,,,,,2183445,23433592,,11524956,19766466,,14090723,5851784,6451678,40180,,25618250,25618250,,2569
India,16-03-2021,,7822654,,8321177,,9549294,14381,2557019,29313725,,11713149,25709257,,13993527,6161488,5366679,33886,,31870745,25709257,,2581
India,17-03-2021,,7949980,,9106642,,12938115,14662,2875235,33620784,,13742026,30011328,,16266085,6484692,5183313,31807,,36496020,30011328,,3217
India,18-03-2021,,8086204,,9587964,,14261942,14777,3111700,35658703,,14637915,31952935,,17311577,6817469,5880856,38208,,38770404,31952935,,3443
India,19-03-2021,,8219288,,10165734,,15826268,14896,3332178,37977040,,15732206,34228371,,18492473,7080848,6385874,41625,,41309219,34228371,,3692
India,20-03-2021,,8358591,,10766621,,17426476,15074,3617184,40260683,,16876137,36568988,,19688923,7308880,6470646,42178,,43877868,36568988,,3928
India,21-03-2021,,8392363,,10969933,,17923778,15121,3711319,40934052,,17245870,37303458,,20053560,7341914,1919521,13892,,44645372,37303458,,4028
India,22-03-2021,,8514176,,11542500,,19538350,15234,4025733,43178899,,18363361,39612614,,21244939,7592019,7458801,49877,,47204633,39612614,,4314
India,23-03-2021,,8657263,,12235178,,21238556,15414,4418254,45554897,,19611896,42148875,,22532413,7824277,6325666,42614,,49973152,42148875,,4566
India,24-03-2021,,8770039,,12809134,,22652955,15533,4755913,47460323,,20642500,44250191,,23602891,7966046,6309312,42607,,52216237,44250191,,4800
India,25-03-2021,,8895838,,13438961,,24101658,15692,5065307,49523912,,21704739,46454700,,24744845,8134520,6810937,46395,,54589220,46454700,,5116
India,26-03-2021,,9030708,,14142017,,25558079,15827,5363425,51657738,,22832194,48749313,,25911744,8271851,7290723,49904,,57021164,48749313,,5375
India,27-03-2021,,9170702,,14835024,,26840911,15942,5581810,53653625,,23883153,50865316,,26976551,8370120,6515557,44549,,59235436,50865316,,5612
India,28-03-2021,,9191854,,14951629,,27017385,15968,5600420,53956699,,24036939,51179587,,27137004,8377533,2724106,18876,,59557120,51179587,,5644
India,29-03-2021,,9232163,,15144058,,27379282,16014,5673246,54509817,,24341025,51774289,,27427546,8408775,3614098,24773,,60183064,51774289,,5718
India,30-03-2021,,9335310,,15669710,,28405395,16112,5820234,56170007,,25165987,53429356,,28257441,8560886,6935955,45244,,61990242,53429356,,5928
India,31-03-2021,,9451326,,16264001,,29454352,16261,5979191,57956398,,26031409,55188803,,29151242,8746787,7622285,48959,,63935590,55188803,,6152
India,01-04-2021,,9557988,,17615494,,30250716,16355,6164245,60197476,,27115615,57443466,,30321468,8918256,8582019,56390,,66361722,57443466,,6383
India,02-04-2021,,9722696,,19839695,,31354874,16677,6415647,63675188,,28803529,60936753,,32126426,9154083,7771995,50714,,70090836,60936753,,6798
India,03-04-2021,,9872239,,21613929,,32237904,16891,6619593,66492525,,30159173,63743700,,33577406,9368419,8028771,53749,,73112119,63743700,,7121
India,04-04-2021,,9981005,,23681718,,33156019,17036,6880699,69524997,,31665721,66838504,,35165269,9567193,6779834,43542,,76405697,66838504,,7514
India,05-04-2021,,9988573,,25457649,,34154208,17130,7162657,72277231,,33052869,69620234,,36559511,9819655,9947093,64960,,79439889,69620234,,7854
India,06-04-2021,,9994341,,27028827,,34992622,17216,7419434,74645902,,34255180,72035640,,37772299,10029697,9341151,61096,,82065337,72035640,,8161
India,07-04-2021,,10005564,,30065901,,36580444,17424,7832533,79268093,,36552499,76671812,,40110598,10428815,8870978,58826,,87100627,76671812,,8715
India,08-04-2021,,10017087,,32914036,,38047027,17628,8167587,83713942,,38715200,80998099,,42273620,10883431,9913258,65506,,91881530,80998099,,9279
India,09-04-2021,,10050594,,35088992,,39137263,17815,8425992,87157426,,40357259,84296847,,43929844,11286572,9969009,65714,,95583419,84296847,,9744
India,10-04-2021,,10115743,,37138666,,40137437,17965,8678151,90391202,,41893575,87411872,,45508111,11657482,8710763,58594,,99069354,87411872,,10186
India,11-04-2021,,10150663,,38924746,,41016044,18061,8865852,93134548,,43205152,90111528,,46895781,11888873,9729980,63648,,102000401,90111528,,10595
India,12-04-2021,,10214478,,41124841,,42200133,18211,9117558,96852980,,44878560,93559587,,48669828,12410952,10664088,71554,,105970539,93559587,,11199
India,13-04-2021,,10261853,,42580769,,42960830,18349,9279181,99319107,,45926378,95823614,,49885738,12774675,10046908,67834,,108598289,95823614,,11498
India,14-04-2021,,10329252,,44385712,,43968484,18419,9632303,102280984,,47329847,98703696,,51361929,13209592,10786962,69832,,111913288,98703696,,11920
India,15-04-2021,,10393324,,45715162,,44724878,18511,9850203,104747822,,48352489,100853671,,52488916,13744355,9771019,66284,,114598026,100853671,,12266
India,16-04-2021,,10469609,,46998499,,45438828,18664,10178643,107126700,,49339504,102927296,,53575244,14378048,9780485,66381,,117305344,102927296,,12548
India,17-04-2021,,10546237,,48281098,,46102623,18764,10555424,109415944,,50289664,104950409,,54647827,15020960,8521217,60057,,119971369,104950409,,12918
India,18-04-2021,,10573998,,48885888,,46416081,18788,10711610,110495487,,50732172,105896430,,55151208,15310668,8395934,58212,,121207098,105896430,,13050
India,19-04-2021,,10717276,,50242630,,47198108,18896,11106751,113350410,,51806475,108178574,,56358692,16278588,10632658,73506,,124457162,108178574,,13407
India,20-04-2021,,10827001,,51441470,,47876178,18976,11515707,115913179,,52731510,110165234,,57420010,17263653,10163007,71051,,127428887,110165234,,13714
India,21-04-2021,,10889235,,52371179,,48391750,19057,11799916,117846188,,53441979,111673361,,58217380,17972744,9537781,67123,,129646105,111673361,,14002
India,22-04-2021,,10972801,,53528676,,49056017,19130,12176768,120577839,,54355513,113584269,,59214377,19170339,10459336,73933,,132754608,113584269,,14379
India,23-04-2021,,11075950,,54681402,,49673372,19246,12507127,123151196,,55237448,115461202,,60208977,20197122,9772224,68575,,135658324,115461202,,14777
India,24-04-2021,,11161742,,55725179,,50185235,19338,12775153,125410802,,56011474,117105343,,61078797,21080613,8300170,59612,,138185956,117105343,,15072
India,25-04-2021,,11194950,,56163123,,50403597,19364,12866845,126318327,,56337692,117795008,,61442119,21390165,5844983,41927,,139185173,117795008,,15197
India,26-04-2021,,11300300,,57436912,,51108802,19459,13127022,129397924,,57335805,119886252,,62534884,22638695,9725885,68905,,142524947,119886252,,15563
India,27-04-2021,,14453548,,55220908,,51567636,19521,13362545,131516688,,57980903,121263287,,63266613,23615946,9192384,65370,,144879233,121263287,,15771
India,28-04-2021,,14557937,,55978822,,51980128,19657,13636237,133417155,,58583701,122538179,,63938524,24515213,8123540,57439,,147053392,122538179,,15954
India,29-04-2021,,14666103,,56743187,,52384617,19753,13926050,135342722,,59183960,123811908,,64611787,25456864,8593203,61628,,149268772,123811908,,16161
India,30-04-2021,,14819208,,57676548,,52862810,19828,14178643,137819464,,59914751,125376952,,65445771,26621155,8996730,64042,,151998107,125376952,,16430
India,01-05-2021,,14999469,,58198124,,53112963,19850,14369918,139256407,,60339903,126328970,,65972485,27297355,8022399,56966,,153626325,126328970,,16582
India,02-05-2021,,15057167,,58438144,,53191783,19868,14417017,139794494,,60503747,126704151,,66183753,27507360,5396932,38359,,154211511,126704151,,16651
India,03-05-2021,,15352120,,58901132,,53426355,19921,14654260,141427876,,60942039,127696675,,66737774,28385461,8814219,61196,,156082136,127696675,,16862
India,04-05-2021,,15689305,,59299040,,53622284,19982,14892657,142858095,,61344881,128627919,,67265833,29122833,8034995,55739,,157750752,128627919,,17205
India,05-05-2021,,16036053,,59800123,,53877151,20041,15127348,144803890,,61832097,129730641,,67881167,30200597,8424665,58108,,159931238,129730641,,17377
India,06-05-2021,,16430428,,60403154,,54207909,20079,15424914,147178689,,62424602,131058890,,68616643,31544713,8708024,60671,,162603603,131058890,,17645
India,07-05-2021,,16856986,,60927081,,54493332,20136,15761911,149428089,,62972623,132294827,,69304346,32895173,8244108,57623,,165190000,132294827,,17858
India,08-05-2021,,17255291,,61372739,,54720932,20212,16195122,151298735,,63449164,133366482,,69899266,34127375,8362691,58214,,167493857,133366482,,18052
India,09-05-2021,,17539440,,61510977,,54786708,20234,16321015,151983853,,63650307,133854676,,70186220,34450192,5437733,39614,,168304868,133854676,,18149
India,10-05-2021,,18167977,,61966293,,55038117,20288,16727082,154371836,,64225501,135192013,,70948079,35906905,8215415,58011,,171098918,135192013,,18433
India,11-05-2021,,18768175,,62460166,,55307756,20315,17081853,156780790,,64816275,136557345,,71722365,37305298,7848368,56288,,173862643,136557345,,18705
India,12-05-2021,,19307387,,62926016,,55549219,20352,17459811,158585766,,65354414,137805245,,72431855,38240332,7572978,54605,,176045577,137805245,,18976
India,13-05-2021,,19863113,,63401077,,55799375,20415,17840229,160521617,,65906538,139087590,,73161834,39274256,7238072,52103,,178361846,139087590,,19218
India,14-05-2021,,20255885,,63656217,,55924598,20432,18087664,161558739,,66234957,139861462,,73607113,39784951,5861579,42398,,179646413,139861462,,19392
India,15-05-2021,,20902588,,64076941,,56126114,20459,18535310,163009216,,66787921,141132112,,74324379,40412424,7183448,51190,,181544536,141132112,,19812
India,16-05-2021,,21360117,,64200432,,56176752,20473,18695475,163555521,,67050966,141764335,,74693401,40486671,4278089,27979,,182251006,141764335,,19968
India,17-05-2021,,22103586,,64615446,,56342950,20512,19077536,164739599,,67608590,143090218,,75461311,40726986,8089861,48246,,183817204,143090218,,20317
India,18-05-2021,,22710882,,65021417,,56508521,20586,19407170,165784285,,68107465,144270200,,76142110,40921402,7311249,42755,,185191602,144270200,,20625
India,19-05-2021,,23325439,,65340955,,56636839,20659,19669911,166740487,,68550747,145333606,,76761977,41076994,6683984,40289,,186410600,145333606,,20882
India,20-05-2021,,24095416,,65709875,,56787668,20755,19986188,167900451,,69091006,146624652,,77512357,41262233,7547217,44986,,187886885,146624652,,21289
India,21-05-2021,,24815544,,66109139,,56936352,20821,20301735,169042095,,69623495,147893976,,78248902,41450129,7425242,42679,275,189344105,147893976,,21579
India,22-05-2021,,25540064,,66609184,,57119494,20858,20590582,170345955,,70224054,149302864,,79056922,41633995,8649098,49046,322,190936859,149302864,,21888
India,23-05-2021,,26159678,,66797754,,57188219,20870,20680782,171196318,,70583303,150180408,,79574984,41697052,5338956,30180,360,191877460,150180408,,22121
India,24-05-2021,,27500303,,67442972,,57459394,20918,20932868,173380665,,71526736,152439044,,80889623,41874876,9601152,51161,387,194313920,152439044,,22685
India,25-05-2021,,28655080,,68006383,,57685358,20981,21222896,175240154,,72328742,154384464,,82032580,42079031,9133572,46265,445,196463495,154384464,,23142
India,26-05-2021,,29673387,,68568469,,57908741,21016,21440904,176983511,,73082037,156189641,,83084097,42235974,9309344,44319,1200,198425615,156189641,,23507
India,27-05-2021,,31096243,,69538125,,58331056,21057,21732409,179703057,,74299145,159006359,,84683042,42431761,10482875,44427,2654,201438120,159006359,,24172
India,28-05-2021,,32704761,,70491958,,58711772,21092,22143306,182470401,,75552353,161951713,,86374510,42665859,11340655,44877,3865,204617572,161951713,,24850
India,29-05-2021,,34394210,,71322705,,59041286,21143,22748715,185041368,,76750999,164804095,,88027641,42992369,11069278,43049,6381,207796464,164804095,,25455
India,30-05-2021,,35054344,,71584500,,59137269,21166,22948962,185950671,,77177776,165823004,,88619604,43084719,5941306,22980,8090,208907723,165823004,,25624
India,31-05-2021,,36494965,,72388059,,59461062,21260,23442881,188324712,,78271582,168393525,,90095606,43384966,10623839,42783,10898,211778491,168393525,,26337
India,01-06-2021,,37657598,,73158983,,59772400,21302,23905095,190396381,,79231870,170640412,,91381749,43674110,9930062,38044,13046,214314522,170640412,,26793
India,02-06-2021,,38998815,,73851872,,60041595,21412,24376613,192467399,,80212651,172945950,,92705952,43912247,10324274,38535,14185,216858197,172945950,,27347
India,03-06-2021,,40649116,,74618017,,60353715,21470,25012565,194803940,,81361633,175677634,,94288015,44153937,11534619,41239,15066,219831571,175677634,,27986
India,04-06-2021,,42587253,,75746331,,60810517,21518,25581498,198045267,,82885972,179205337,,96289872,44436944,13131165,46141,15516,223642281,179205337,,29493
India,05-06-2021,,44490432,,76694765,,61200972,21637,26213604,200932620,,84277549,182451348,,98143570,44711155,12775190,45548,16279,227162503,182451348,,30229
India,06-06-2021,,45391190,,77035519,,61331191,21706,26450908,202156935,,84886553,183824958,,98907905,44799620,7228531,24346,16735,228624578,183824958,,30500
India,07-06-2021,,47233720,,77930082,,61699177,21820,27031124,205014564,,86246094,186933771,,100656406,45129717,12625429,45459,17800,232063488,186933771,,31271
India,08-06-2021,,48781429,,78645889,,62001788,21899,27571289,207362449,,87370490,189503126,,102100803,45449492,11506400,41121,18880,234952618,189503126,,31833
India,09-06-2021,,50952882,,79344582,,62293642,21959,28196184,210223401,,88748112,192669299,,103888483,45770830,11932713,42274,20544,238440129,192669299,,32704
India,10-06-2021,,53072899,,80018155,,62574015,21991,28814428,213010415,,90106724,195747476,,105607170,46099387,12035310,42414,22020,241846863,195747476,,33582
India,11-06-2021,,55307867,,80715943,,62867396,22027,29426682,215962153,,91557487,198977594,,107385721,46434361,12044221,42704,23120,245411955,198977594,,34386
India,12-06-2021,,57472406,,81467278,,63177391,22075,29975845,219032482,,92997290,202207183,,109174763,46825911,12844959,42982,24767,249033094,202207183,,35130
India,13-06-2021,,58561036,,81756122,,63296269,22082,30185294,220445754,,93690273,203705131,,109979462,46951231,7549518,22768,25314,250656362,203705131,,35396
India,14-06-2021,,60913444,,82600503,,63665384,22118,30779165,223847280,,95369557,207274441,,111868784,47378599,14048206,46924,26595,254653040,207274441,,36100
India,15-06-2021,,62448482,,83290805,,63979181,22127,31248316,226329536,,96513504,209816439,,113266182,47789089,11834657,41484,27676,257605528,209816439,,36753
India,16-06-2021,,64643068,,83939373,,64262201,22155,31695663,229393676,,97929255,212945352,,114978703,48173116,14252163,44447,29129,261118468,212945352,,37394
India,17-06-2021,,66811954,,84514167,,64514699,22214,32252129,232253523,,99275854,215944608,,116630688,48592637,13293750,42886,31593,264537245,215944608,,38066
India,18-06-2021,,68997968,,85086167,,64765494,22257,32765846,235151645,,100624989,218956863,,118293011,48994708,12991192,42760,34080,267951571,218956863,,38863
India,19-06-2021,,71342757,,85786352,,65076837,22308,33243363,238552905,,102137801,222316897,,120139375,49516745,14175307,43724,37374,271833642,222316897,,39721
India,20-06-2021,,73042655,,86653713,,65402486,22319,33448885,241530408,,103804672,225211708,,121366817,49806985,12736409,24766,39400,275018693,225211708,,40219
India,21-06-2021,,79130988,,88034483,,66002905,22345,34123378,249725103,,107542051,233288807,,125704054,50602957,35010311,68061,43283,283891764,233288807,,42702
India,22-06-2021,,83190167,,88947171,,66423283,22406,34641890,255272448,,110074369,238685516,,128567271,51276230,23436266,54639,47408,289961746,238685516,,43876
India,23-06-2021,,88014595,,89941914,,66858838,22436,35392947,261448717,,112980429,244944880,,131919150,51947641,27105115,59462,50857,296892521,244944880,,45301
India,24-06-2021,,92243148,,90968877,,67310981,22588,36139047,267233899,,115668447,250656880,,134941971,52769970,26458510,56282,53904,303426850,250656880,,46462
India,25-06-2021,108435293,,110410673,,90956553,,22709,37027773,272716628,142754166,,256135000,166996837,,53667519,27953093,55202,58118,309802519,,51516,
India,26-06-2021,112960394,,111903438,,91671943,,22885,37908285,278562444,145924320,,261705883,170558604,,54829892,29924071,55142,65046,316535775,,52851,
India,27-06-2021,114287302,,112317011,,91869179,,22996,38254587,280151800,146849924,,263289938,171570354,,55183554,14362704,23886,67105,318473492,,53214,
India,28-06-2021,117673231,,113624093,,92539005,,23099,39047840,284716017,149453113,,267485789,174328759,,56350540,25874790,48855,72472,323836329,,54457,
India,29-06-2021,120044665,,114600753,,93040004,,23129,39657631,287949744,151359083,,270392224,176271011,,57293198,20606418,39263,78047,327685422,,55328,
India,30-06-2021,121755682,,115390323,,93407618,,23217,40307832,290158311,152746870,,272487181,177750688,,58066442,18568866,33381,87480,330553623,,56065,
India,01-07-2021,124412877,,116539731,,93960612,,23290,40927453,293891479,154834173,,275842378,180022023,,59070842,20310004,40094,94288,334913220,,57024,
India,02-07-2021,126985291,,117838292,,94623485,,23467,41530884,297814896,157013277,,279132514,182375868,,60314554,20812325,40091,101288,339447068,,57923,
India,03-07-2021,130761114,,119730672,,95562236,,23695,42506166,303438000,160138342,,283527017,185856473,,62527005,26140934,48778,109856,346054022,,59207,
India,04-07-2021,131760228,,120219354,,95786665,,23780,42729197,304924760,160958198,,284750483,186748495,,63015764,12321517,19122,112290,347766247,,59554,
India,05-07-2021,134087877,,121768778,,96555634,,23798,43442864,308849054,163176110,,287588808,189175605,,64823481,20486897,42139,120371,352412289,,60574,
India,06-07-2021,136158617,,122916328,,97118004,,23960,44018800,312045416,164971125,,290132865,191160373,,66060084,17691841,35607,128733,356192949,,61451,
India,07-07-2021,137996472,,124050399,,97681374,,24041,44518708,315072183,166638938,,292326546,193027060,,67401699,17449073,33655,137354,359728245,,62247,
India,08-07-2021,140323602,,125274577,,98267998,,24103,45082427,318636397,168608604,,295113298,195194201,,68752879,18408867,37073,147353,363866177,,63372,
India,09-07-2021,142074586,,126245273,,98759193,,24167,45476306,321441373,170130738,,297184419,196883902,,69894633,15830443,31342,161373,367079052,,64412,
India,10-07-2021,144140990,,127450202,,99330205,,24280,46016442,324725183,171944765,,299620148,198911398,,71301249,15975055,32091,179772,370921397,,65234,
India,11-07-2021,144850653,,127867994,,99531130,,24280,46227004,325834486,172590906,,300474970,199593430,,71774807,8835173,14717,188287,372249777,,65441,
India,12-07-2021,146972241,,129180113,,100198208,,24290,46822284,329322624,174584012,,303057816,201700141,,73292746,17301046,35603,205654,376350562,,66409,
India,13-07-2021,148978156,,130436240,,100798243,,24407,47230844,332757295,176432842,,305477371,203712414,,74735268,15468942,33126,224500,380212639,,67383,
India,14-07-2021,151234541,,132856589,,102197011,,24407,47878858,338166245,179436493,,310042014,206783170,,76246127,14758731,31235,243038,386288141,,68478,
India,15-07-2021,153409838,,134089039,,102788053,,24497,48322223,341703521,181335624,,312624872,208881920,,77662058,16084911,35258,261186,390286930,,69386,
India,16-07-2021,155648918,,135521275,,103471511,,24626,48832941,345528530,183434678,,315177274,211136743,,79464430,16935747,37143,280233,394641704,,70283,
India,17-07-2021,158454523,,137167237,,104251888,,24729,49284948,350286122,185940424,,318403675,213861867,,81469973,18405270,39857,302578,399873648,,71357,
India,18-07-2021,159352703,,137615222,,104474044,,24823,49377691,351756263,186712441,,319469878,214657889,,81972091,9120348,16236,308015,401441969,,71639,
India,19-07-2021,162164065,,139322155,,105303913,,24895,49702746,356765200,189309762,,322905680,217407550,,83884453,19017782,42026,322187,406790133,,72821,
India,20-07-2021,164156483,,140448106,,105826237,,24895,50023562,360070547,191075012,,325242678,219282113,,85188148,14830467,33503,336717,410430826,,73701,
India,21-07-2021,165490766,,141158729,,106167539,,24955,50204520,362262299,192226247,,326792911,220516550,,86024123,11772741,23842,350215,412817034,,74237,
India,22-07-2021,168588236,,142841291,,106937311,,25048,50586096,367417104,194914788,,330465663,223376425,,87901175,18416197,41363,363638,418366838,,75625,
India,23-07-2021,171051873,,144211690,,107581735,,25048,51020810,371447023,197091984,,333352959,225676609,,89492339,16337977,37521,377465,422845298,,76705,
India,24-07-2021,174129036,,145718727,,108262167,,25102,51538610,376177250,199598934,,336917806,228432995,,91192124,18476847,40423,394070,428109930,,78001,
India,25-07-2021,175393190,,146262751,,108514590,,25179,51767129,378003458,200561391,,338346937,229530717,,91823594,10784124,19973,399944,430170531,,78423,
India,26-07-2021,179142928,,148284870,,109433682,,25223,52419879,384030365,203840892,,343039824,232940580,,93821656,22339305,46007,411236,436861480,,80008,
India,27-07-2021,181617271,,149496636,,110014767,,25307,52894031,387811369,205922411,,345867755,235125348,,95260919,16549712,38079,423274,441128674,,80915,
India,28-07-2021,184431510,,150689722,,110575348,,25432,53408734,391853470,208136635,,349104325,237477784,,96592255,0,0,434376,445696580,,82161,
India,29-07-2021,187633421,,152107728,,111256743,,25432,54031515,396521739,210703313,,352679959,240211089,,98317933,20051908,43876,444638,450997892,,83490,
India,30-07-2021,190811644,,153629017,,112030589,,25507,54580577,401434035,213403098,,356348903,242983261,,100122347,20918871,45339,456638,456471250,,84891,
India,31-07-2021,195087768,,155232209,,112793462,,25626,55439978,407198907,216617587,,361264651,246409497,,101848788,22141942,47334,474554,463113439,,86541,
India,01-08-2021,197208754,,156775004,,113786107,,25626,56043444,411243920,218919118,,365110984,248763622,,102658881,9847327,20066,482501,467769865,,87125,
India,02-08-2021,201077466,,158350312,,114549378,,25730,56851465,416629951,221965874,,369654820,251922714,,104322336,22612516,47979,495740,473977156,,88568,
